"ANO","NIVEL","CODMUNRES","TO","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT"
2015,"MUNICIPIO","421350",88,0,17,71,3,16,22,12,56,32,0,0,0,0,0,2
2015,"MUNICIPIO","421360",263,0,37,226,11,59,68,31,124,139,0,0,0,0,0,6
2015,"MUNICIPIO","421370",92,0,19,73,3,16,27,12,59,33,0,0,0,0,0,3
2015,"MUNICIPIO","421380",42,0,5,37,1,8,15,8,26,16,0,0,0,0,0,1
2015,"MUNICIPIO","421390",15,0,1,14,0,7,6,1,8,7,0,0,0,0,0,0
2015,"MUNICIPIO","421400",89,0,8,81,2,25,32,9,55,34,1,0,0,0,0,1
2015,"MUNICIPIO","421410",14,0,2,12,0,5,5,0,9,5,0,0,0,0,0,0
2015,"MUNICIPIO","421415",12,0,4,8,0,1,4,0,10,2,0,0,0,0,0,1
2015,"MUNICIPIO","421420",59,0,6,53,0,10,19,7,33,26,0,0,0,0,0,3
2015,"MUNICIPIO","421430",20,0,3,17,0,5,6,3,16,4,0,0,0,0,0,1
2015,"MUNICIPIO","421440",34,0,4,30,1,8,8,5,16,18,0,0,0,0,0,1
2015,"MUNICIPIO","421450",45,0,5,40,2,9,9,6,19,26,0,0,0,0,0,3
2015,"MUNICIPIO","421460",61,0,4,57,1,14,18,11,33,28,0,0,0,0,0,0
2015,"MUNICIPIO","421470",66,0,2,64,2,20,16,10,39,27,0,0,0,0,0,1
2015,"MUNICIPIO","421480",417,0,43,374,30,83,128,59,230,187,0,0,0,0,0,6
2015,"MUNICIPIO","421490",35,0,4,31,0,10,8,2,20,15,0,0,0,0,0,1
2015,"MUNICIPIO","421500",259,0,25,234,11,47,82,35,152,107,1,0,0,0,0,5
2015,"MUNICIPIO","421505",20,0,0,20,0,6,6,1,10,10,0,0,0,0,0,1
2015,"MUNICIPIO","421507",23,0,1,22,0,3,9,3,15,8,0,0,0,0,0,0
2015,"MUNICIPIO","421510",79,0,7,72,1,19,25,8,50,29,0,0,0,0,0,1
2015,"MUNICIPIO","421520",36,0,5,31,0,9,9,6,18,18,0,0,0,0,0,1
2015,"MUNICIPIO","421530",47,0,7,40,1,8,18,3,20,27,0,0,0,0,0,1
2015,"MUNICIPIO","421535",18,0,3,15,0,4,2,3,9,9,0,0,0,0,0,0
2015,"MUNICIPIO","421540",28,0,6,22,1,11,4,3,17,11,0,0,0,0,0,0
2015,"MUNICIPIO","421545",60,0,19,41,2,5,15,7,38,22,0,0,0,0,0,6
2015,"MUNICIPIO","421550",112,0,20,92,6,17,29,11,66,46,0,0,0,0,0,3
2015,"MUNICIPIO","421555",17,0,2,15,0,3,3,2,14,3,0,0,0,0,0,1
2015,"MUNICIPIO","421560",21,0,1,20,1,6,3,2,9,12,0,0,0,0,0,0
