"ANO","NIVEL","CODMUNRES","TO","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT"
2015,"MUNICIPIO","420757",14,0,1,13,2,4,4,1,5,9,0,0,0,0,0,1
2015,"MUNICIPIO","420760",40,0,8,32,1,8,5,8,26,14,0,0,0,0,0,0
2015,"MUNICIPIO","420765",36,0,3,33,2,10,8,7,22,14,0,0,0,0,0,0
2015,"MUNICIPIO","420768",42,0,4,38,3,13,10,5,28,14,0,0,0,0,0,6
2015,"MUNICIPIO","420770",39,0,2,37,0,16,8,7,21,18,0,0,0,0,0,2
2015,"MUNICIPIO","420775",36,0,3,33,0,12,8,7,21,15,0,0,0,0,0,2
2015,"MUNICIPIO","420780",65,0,11,54,1,16,17,7,41,24,1,0,0,0,0,2
2015,"MUNICIPIO","420785",16,0,6,10,0,2,3,2,10,6,0,0,0,0,0,0
2015,"MUNICIPIO","420790",67,0,4,63,1,18,19,10,43,24,0,0,0,0,0,1
2015,"MUNICIPIO","420800",32,0,3,29,1,8,10,4,13,19,0,0,0,0,0,0
2015,"MUNICIPIO","420810",131,0,12,119,1,22,44,13,80,51,0,0,0,0,0,1
2015,"MUNICIPIO","420820",1152,0,130,1022,80,251,272,117,635,516,1,0,3,1,2,47
2015,"MUNICIPIO","420830",275,0,40,235,18,68,72,22,166,109,0,0,0,0,0,13
2015,"MUNICIPIO","420840",76,0,6,70,1,18,23,10,41,35,0,0,1,1,0,0
2015,"MUNICIPIO","420845",108,0,19,89,4,18,29,15,62,46,0,0,0,0,0,4
2015,"MUNICIPIO","420850",170,0,30,140,5,32,31,45,109,61,0,0,0,0,0,4
2015,"MUNICIPIO","420860",28,0,5,23,2,7,5,7,22,6,0,0,0,0,0,0
2015,"MUNICIPIO","420870",56,0,4,52,0,16,17,4,27,29,0,0,0,0,0,1
2015,"MUNICIPIO","420880",138,0,5,133,5,25,54,21,80,58,0,0,0,0,0,0
2015,"MUNICIPIO","420890",717,0,74,643,22,191,185,77,414,303,2,0,1,1,0,28
2015,"MUNICIPIO","420895",14,0,0,14,0,4,6,1,8,6,0,0,0,0,0,0
2015,"MUNICIPIO","420900",140,0,11,129,4,28,42,15,76,64,1,0,0,0,0,4
2015,"MUNICIPIO","420910",2810,0,323,2487,140,596,858,295,1590,1220,3,0,3,2,1,78
2015,"MUNICIPIO","420915",45,0,7,38,1,11,8,8,29,16,0,0,0,0,0,1
2015,"MUNICIPIO","420917",19,0,2,17,2,5,3,5,11,8,0,0,0,0,0,0
